,signal_key_id,time_value,geo_key_id,EWMA,FlaSH,AR,IF,DL,Tele
0,154,2023-07-13,2560,0.0368418028974033,0.1342572077968596,0.9891524560375046,0.314923938321023,0.0655101029479825,0.9696007901366192
1,1,2023-07-13,1413,0.232235663645294,0.9543596888424476,0.03987943941070343,0.7245559343321073,0.6548443527406477,0.7817437177915334
2,154,2023-07-13,590,0.2673267326732673,0.7090909090909091,0.8775510204081632,0.6887755102040817,0.7295918367346939,0.5816326530612245
3,154,2023-07-13,1441,0.3437990580847723,0.7767094017094017,0.08976660682226212,0.5547576301615799,0.4631956912028725,0.25493716337522443
4,123,2023-07-13,1084,0.0844155844155844,0.4752475247524752,0.01948051948051948,0.045454545454545456,1.0,0.05194805194805195
5,154,2023-07-13,2560,0.0368418028974033,0.1342572077968596,0.9891524560375046,0.314923938321023,0.0655101029479825,0.9696007901366192
6,1,2023-07-13,1413,0.232235663645294,0.9543596888424476,0.03987943941070343,0.7245559343321073,0.6548443527406477,0.7817437177915334
7,154,2023-07-13,590,0.2673267326732673,0.7090909090909091,0.8775510204081632,0.6887755102040817,0.7295918367346939,0.5816326530612245
8,154,2023-07-13,1441,0.3437990580847723,0.7767094017094017,0.08976660682226212,0.5547576301615799,0.4631956912028725,0.25493716337522443
9,123,2023-07-13,1084,0.0844155844155844,0.4752475247524752,0.01948051948051948,0.045454545454545456,1.0,0.05194805194805195
