,geo_key_id,geo_type,geo_value,population
0,1,county,01000,
1,2,county,01001,51155.82297258389
2,3,county,01003,317271.8499035293
3,4,county,01005,43615.479309494796
4,5,county,01007,59236.59219934975
5,6,county,01009,33164.482012174434
6,7,county,01011,71327.4048162146
7,8,county,01013,35371.517578755025
8,9,county,01015,42153.4199344871
9,10,county,01017,87419.16157415447
10,11,county,01019,40168.23592684139
11,12,county,01021,123833.16083750733
12,2229,county,01023,170853.22396608884
13,13,county,01025,39910.56024100674
14,14,county,01027,63382.671734657895
15,2230,county,01029,38577.24562222541
16,15,county,01031,94749.44299374914
17,16,county,01033,117517.27797166455
18,17,county,01035,23461.87802919306
19,18,county,01037,85214.90285072399
20,2379,county,01039,24568.81681389407
21,2380,county,01041,60315.20110782856
22,19,county,01043,97738.30207814614
23,20,county,01045,133480.19111153547
24,2289,county,01047,39408.818166036865
25,21,county,01049,108213.29596608397
26,22,county,01051,101148.08512524357
27,2335,county,01053,89065.2645371486
28,23,county,01055,89945.7247103991
29,24,county,01057,5202.015643531139
30,25,county,01059,105043.0044372945
31,26,county,01061,153803.53253524652
32,2462,county,01063,45518.56957586047
33,27,county,01065,28947.94085369673
34,28,county,01067,147557.35511785842
35,29,county,01069,72262.86830028823
36,30,county,01071,98650.98901688654
37,31,county,01073,489483.9122217567
38,32,county,01075,80744.92361785231
39,33,county,01077,17825.6858378229
40,34,county,01079,154453.46413214834
41,35,county,01081,116288.39108837838
42,36,county,01083,129241.21675467437
43,37,county,01085,98335.11296760965
44,38,county,01087,153068.70492323046
45,39,county,01089,207764.10690249715
46,2433,county,01091,130942.32499870734
47,4134,county,01093,50773.91967577162
48,40,county,01095,137431.55770284744
49,41,county,01097,290606.26541436627
50,2143,county,01099,153561.16870934123
51,42,county,01101,213535.07373229327
52,43,county,01103,102480.86770845838
53,4433,county,01105,131952.48137044336
54,2115,county,01107,61420.723138396024
55,4434,county,01109,137619.8028933598
56,2463,county,01111,40324.947805964155
57,44,county,01113,168201.93100595433
58,45,county,01115,126327.87534514902
59,46,county,01117,138914.10121572533
60,2434,county,01119,26197.08514932757
61,47,county,01121,25157.765020543095
62,48,county,01123,104593.38257726489
63,49,county,01125,74194.08790519381
64,50,county,01127,108014.87608287043
65,2231,county,01129,157849.22506391435
66,4435,county,01131,147142.11824889763
67,2199,county,01133,112965.03722671315
68,51,county,02000,
69,4436,county,02013,189514.95747795573
70,4437,county,02016,65245.373059199745
71,52,county,02020,129352.82284790337
72,4438,county,02050,262369.9276869369
73,4439,county,02060,375.7885449455215
74,5415,county,02063,
75,5416,county,02066,
76,4440,county,02068,16090.269833999393
77,4441,county,02070,11274.52196077994
78,2144,county,02090,47921.61239147684
79,4442,county,02100,123.65325936199712
80,4443,county,02105,26727.86160086038
81,4117,county,02110,52141.387155963304
82,2336,county,02122,91531.74799817067
83,4444,county,02130,60697.0
84,4445,county,02150,56202.31995987964
85,4446,county,02158,
86,4447,county,02164,82694.87605487974
87,53,county,02170,64659.762734547956
